Value,Prefix,Suffix,Type,Status
20ABS,20,ABS,Call Sign - Amateur,Reserved
20ABT,20,ABT,Call Sign - Amateur,Allocated
20ABU,20,ABU,Call Sign - Amateur,Reserved
20ABV,20,ABV,Call Sign - Amateur,Reserved
20ABW,20,ABW,Call Sign - Amateur,Allocated
20ABX,20,ABX,Call Sign - Amateur,Reserved
20ABY,20,ABY,Call Sign - Amateur,Reserved
20ABZ,20,ABZ,Call Sign - Amateur,Reserved
20ACA,20,ACA,Call Sign - Amateur,Allocated
20ACB,20,ACB,Call Sign - Amateur,Reserved
20ACC,20,ACC,Call Sign - Amateur,Reserved
20ACD,20,ACD,Call Sign - Amateur,Allocated
20ACE,20,ACE,Call Sign - Amateur,Allocated
20ACF,20,ACF,Call Sign - Amateur,Reserved
20ACG,20,ACG,Call Sign - Amateur,Reserved
20ACH,20,ACH,Call Sign - Amateur,Reserved
20ACI,20,ACI,Call Sign - Amateur,Reserved
20ACJ,20,ACJ,Call Sign - Amateur,Reserved
20ACK,20,ACK,Call Sign - Amateur,Reserved
20ACL,20,ACL,Call Sign - Amateur,Reserved
20ACM,20,ACM,Call Sign - Amateur,Reserved
20ACN,20,ACN,Call Sign - Amateur,Reserved
20ACO,20,ACO,Call Sign - Amateur,Allocated
20ACP,20,ACP,Call Sign - Amateur,Reserved
20ACQ,20,ACQ,Call Sign - Amateur,Allocated
20ACR,20,ACR,Call Sign - Amateur,Allocated
20ACS,20,ACS,Call Sign - Amateur,Allocated
20ACT,20,ACT,Call Sign - Amateur,Reserved
20ACU,20,ACU,Call Sign - Amateur,Reserved
20ACV,20,ACV,Call Sign - Amateur,Allocated
20ACW,20,ACW,Call Sign - Amateur,Reserved
20ACX,20,ACX,Call Sign - Amateur,Reserved
20ACY,20,ACY,Call Sign - Amateur,Reserved
20ACZ,20,ACZ,Call Sign - Amateur,Reserved
20ADA,20,ADA,Call Sign - Amateur,Allocated
20ADB,20,ADB,Call Sign - Amateur,Reserved
20ADC,20,ADC,Call Sign - Amateur,Reserved
20ADD,20,ADD,Call Sign - Amateur,Allocated
20ADE,20,ADE,Call Sign - Amateur,Allocated
20ADF,20,ADF,Call Sign - Amateur,Reserved
20ADG,20,ADG,Call Sign - Amateur,Reserved
20ADH,20,ADH,Call Sign - Amateur,Reserved
20ADI,20,ADI,Call Sign - Amateur,Reserved
20ADJ,20,ADJ,Call Sign - Amateur,Reserved
20ADK,20,ADK,Call Sign - Amateur,Allocated
20ADL,20,ADL,Call Sign - Amateur,Allocated
20ADM,20,ADM,Call Sign - Amateur,Allocated
20ADN,20,ADN,Call Sign - Amateur,Allocated
20ADO,20,ADO,Call Sign - Amateur,Allocated
20ADP,20,ADP,Call Sign - Amateur,Reserved
20ADQ,20,ADQ,Call Sign - Amateur,Reserved
20ADR,20,ADR,Call Sign - Amateur,Reserved
20ADT,20,ADT,Call Sign - Amateur,Reserved
20ADU,20,ADU,Call Sign - Amateur,Reserved
20ADV,20,ADV,Call Sign - Amateur,Reserved
20ADW,20,ADW,Call Sign - Amateur,Reserved
20ADX,20,ADX,Call Sign - Amateur,Reserved
20ADY,20,ADY,Call Sign - Amateur,Reserved
20ADZ,20,ADZ,Call Sign - Amateur,Reserved
20AEA,20,AEA,Call Sign - Amateur,Reserved
20AEB,20,AEB,Call Sign - Amateur,Reserved
20AEC,20,AEC,Call Sign - Amateur,Reserved
20AED,20,AED,Call Sign - Amateur,Allocated
20AEE,20,AEE,Call Sign - Amateur,Reserved
20AEF,20,AEF,Call Sign - Amateur,Reserved
20AEG,20,AEG,Call Sign - Amateur,Reserved
20AEH,20,AEH,Call Sign - Amateur,Reserved
20AEI,20,AEI,Call Sign - Amateur,Reserved
20AEJ,20,AEJ,Call Sign - Amateur,Reserved
20AEK,20,AEK,Call Sign - Amateur,Reserved
20AEL,20,AEL,Call Sign - Amateur,Reserved
20AEM,20,AEM,Call Sign - Amateur,Reserved
20AEN,20,AEN,Call Sign - Amateur,Reserved
20AEO,20,AEO,Call Sign - Amateur,Reserved
20AEP,20,AEP,Call Sign - Amateur,Reserved
20AEQ,20,AEQ,Call Sign - Amateur,Reserved
20AER,20,AER,Call Sign - Amateur,Allocated
20AES,20,AES,Call Sign - Amateur,Allocated
20AET,20,AET,Call Sign - Amateur,Reserved
20AEU,20,AEU,Call Sign - Amateur,Reserved
20AEV,20,AEV,Call Sign - Amateur,Reserved
20AEW,20,AEW,Call Sign - Amateur,Reserved
20AEX,20,AEX,Call Sign - Amateur,Reserved
20AEY,20,AEY,Call Sign - Amateur,Reserved
20AEZ,20,AEZ,Call Sign - Amateur,Reserved
20AFA,20,AFA,Call Sign - Amateur,Allocated
20AFB,20,AFB,Call Sign - Amateur,Reserved
20AFC,20,AFC,Call Sign - Amateur,Reserved
20AFD,20,AFD,Call Sign - Amateur,Reserved
20AFE,20,AFE,Call Sign - Amateur,Reserved
20AFF,20,AFF,Call Sign - Amateur,Reserved
20AFG,20,AFG,Call Sign - Amateur,Reserved
20AFH,20,AFH,Call Sign - Amateur,Reserved
20AFI,20,AFI,Call Sign - Amateur,Reserved
20AFJ,20,AFJ,Call Sign - Amateur,Reserved
20AFK,20,AFK,Call Sign - Amateur,Reserved
20AFL,20,AFL,Call Sign - Amateur,Allocated
20AFM,20,AFM,Call Sign - Amateur,Reserved
20AFN,20,AFN,Call Sign - Amateur,Reserved
20AFO,20,AFO,Call Sign - Amateur,Allocated
20AFP,20,AFP,Call Sign - Amateur,Allocated
20AFQ,20,AFQ,Call Sign - Amateur,Reserved
20AFR,20,AFR,Call Sign - Amateur,Reserved
20AFS,20,AFS,Call Sign - Amateur,Reserved
20AFT,20,AFT,Call Sign - Amateur,Allocated
20AFU,20,AFU,Call Sign - Amateur,Reserved
20AFV,20,AFV,Call Sign - Amateur,Reserved
20AFW,20,AFW,Call Sign - Amateur,Reserved
20AFX,20,AFX,Call Sign - Amateur,Reserved
20AFY,20,AFY,Call Sign - Amateur,Reserved
20AFZ,20,AFZ,Call Sign - Amateur,Reserved
20AGA,20,AGA,Call Sign - Amateur,Reserved
20AGB,20,AGB,Call Sign - Amateur,Reserved
20AGC,20,AGC,Call Sign - Amateur,Reserved
20AGD,20,AGD,Call Sign - Amateur,Reserved
20AGE,20,AGE,Call Sign - Amateur,Reserved
20AGF,20,AGF,Call Sign - Amateur,Reserved
20AGG,20,AGG,Call Sign - Amateur,Reserved
20AGH,20,AGH,Call Sign - Amateur,Reserved
20AGI,20,AGI,Call Sign - Amateur,Allocated
20AGJ,20,AGJ,Call Sign - Amateur,Reserved
20AGK,20,AGK,Call Sign - Amateur,Reserved
20AGL,20,AGL,Call Sign - Amateur,Reserved
20AGM,20,AGM,Call Sign - Amateur,Reserved
20AGN,20,AGN,Call Sign - Amateur,Reserved
20AGO,20,AGO,Call Sign - Amateur,Reserved
20AGP,20,AGP,Call Sign - Amateur,Reserved
20AGQ,20,AGQ,Call Sign - Amateur,Allocated
20AGR,20,AGR,Call Sign - Amateur,Reserved
20AGS,20,AGS,Call Sign - Amateur,Allocated
20AGT,20,AGT,Call Sign - Amateur,Allocated
20AGU,20,AGU,Call Sign - Amateur,Reserved
20AGV,20,AGV,Call Sign - Amateur,Reserved
20AGW,20,AGW,Call Sign - Amateur,Reserved
20AGX,20,AGX,Call Sign - Amateur,Reserved
20AGY,20,AGY,Call Sign - Amateur,Reserved
20AGZ,20,AGZ,Call Sign - Amateur,Reserved
20AHA,20,AHA,Call Sign - Amateur,Reserved
20AHB,20,AHB,Call Sign - Amateur,Reserved
20AHC,20,AHC,Call Sign - Amateur,Reserved
20AHD,20,AHD,Call Sign - Amateur,Reserved
20AHE,20,AHE,Call Sign - Amateur,Reserved
20AHF,20,AHF,Call Sign - Amateur,Reserved
20AHG,20,AHG,Call Sign - Amateur,Reserved
20AHH,20,AHH,Call Sign - Amateur,Reserved
20AHI,20,AHI,Call Sign - Amateur,Reserved
20AHJ,20,AHJ,Call Sign - Amateur,Reserved
20AHK,20,AHK,Call Sign - Amateur,Reserved
20AHL,20,AHL,Call Sign - Amateur,Reserved
20AHM,20,AHM,Call Sign - Amateur,Reserved
20AHN,20,AHN,Call Sign - Amateur,Reserved
20AHO,20,AHO,Call Sign - Amateur,Allocated
20AHP,20,AHP,Call Sign - Amateur,Reserved
20AHQ,20,AHQ,Call Sign - Amateur,Reserved
20AHR,20,AHR,Call Sign - Amateur,Reserved
20AHS,20,AHS,Call Sign - Amateur,Reserved
20AHT,20,AHT,Call Sign - Amateur,Reserved
20AHU,20,AHU,Call Sign - Amateur,Reserved
20AHV,20,AHV,Call Sign - Amateur,Reserved
20AHW,20,AHW,Call Sign - Amateur,Reserved
20AHX,20,AHX,Call Sign - Amateur,Allocated
20AHY,20,AHY,Call Sign - Amateur,Allocated
20AHZ,20,AHZ,Call Sign - Amateur,Reserved
20AIA,20,AIA,Call Sign - Amateur,Reserved
20AIB,20,AIB,Call Sign - Amateur,Reserved
20AIC,20,AIC,Call Sign - Amateur,Reserved
20AIE,20,AIE,Call Sign - Amateur,Allocated
20AIF,20,AIF,Call Sign - Amateur,Reserved
20AIG,20,AIG,Call Sign - Amateur,Reserved
20AIH,20,AIH,Call Sign - Amateur,Allocated
20AII,20,AII,Call Sign - Amateur,Reserved
20AIJ,20,AIJ,Call Sign - Amateur,Reserved
20AIK,20,AIK,Call Sign - Amateur,Allocated
20AIL,20,AIL,Call Sign - Amateur,Allocated
20AIM,20,AIM,Call Sign - Amateur,Allocated
20AIN,20,AIN,Call Sign - Amateur,Reserved
20AIO,20,AIO,Call Sign - Amateur,Reserved
20AIP,20,AIP,Call Sign - Amateur,Reserved
20AIQ,20,AIQ,Call Sign - Amateur,Reserved
20AIR,20,AIR,Call Sign - Amateur,Reserved
20AIS,20,AIS,Call Sign - Amateur,Reserved
20AIT,20,AIT,Call Sign - Amateur,Allocated
20AIU,20,AIU,Call Sign - Amateur,Reserved
20AIV,20,AIV,Call Sign - Amateur,Allocated
20AIW,20,AIW,Call Sign - Amateur,Reserved
20AIX,20,AIX,Call Sign - Amateur,Reserved
20AIY,20,AIY,Call Sign - Amateur,Reserved
20AIZ,20,AIZ,Call Sign - Amateur,Reserved
20AJA,20,AJA,Call Sign - Amateur,Reserved
20AJB,20,AJB,Call Sign - Amateur,Reserved
20AJC,20,AJC,Call Sign - Amateur,Reserved
20AJD,20,AJD,Call Sign - Amateur,Reserved
20AJE,20,AJE,Call Sign - Amateur,Reserved
20AJF,20,AJF,Call Sign - Amateur,Reserved
20AJG,20,AJG,Call Sign - Amateur,Reserved
20AJH,20,AJH,Call Sign - Amateur,Reserved
20AJI,20,AJI,Call Sign - Amateur,Reserved
20AJJ,20,AJJ,Call Sign - Amateur,Reserved
20AJK,20,AJK,Call Sign - Amateur,Allocated
20AJL,20,AJL,Call Sign - Amateur,Reserved
20AJM,20,AJM,Call Sign - Amateur,Reserved
20AJN,20,AJN,Call Sign - Amateur,Reserved
20AJO,20,AJO,Call Sign - Amateur,Reserved
20AJP,20,AJP,Call Sign - Amateur,Allocated
20AJQ,20,AJQ,Call Sign - Amateur,Allocated
20AJR,20,AJR,Call Sign - Amateur,Reserved
20AJS,20,AJS,Call Sign - Amateur,Allocated
20AJT,20,AJT,Call Sign - Amateur,Allocated
20AJU,20,AJU,Call Sign - Amateur,Reserved
20AJV,20,AJV,Call Sign - Amateur,Reserved
20AJW,20,AJW,Call Sign - Amateur,Reserved
20AJX,20,AJX,Call Sign - Amateur,Allocated
20AJY,20,AJY,Call Sign - Amateur,Reserved
20AJZ,20,AJZ,Call Sign - Amateur,Reserved
20AKA,20,AKA,Call Sign - Amateur,Reserved
20AKB,20,AKB,Call Sign - Amateur,Reserved
20AKC,20,AKC,Call Sign - Amateur,Reserved
20AKD,20,AKD,Call Sign - Amateur,Reserved
20AKE,20,AKE,Call Sign - Amateur,Reserved
20AKF,20,AKF,Call Sign - Amateur,Reserved
20AKG,20,AKG,Call Sign - Amateur,Allocated
20AKH,20,AKH,Call Sign - Amateur,Reserved
20AKI,20,AKI,Call Sign - Amateur,Allocated
20AKJ,20,AKJ,Call Sign - Amateur,Allocated
20AKK,20,AKK,Call Sign - Amateur,Allocated
20AKL,20,AKL,Call Sign - Amateur,Allocated
20AKM,20,AKM,Call Sign - Amateur,Reserved
20AKN,20,AKN,Call Sign - Amateur,Allocated
20AKO,20,AKO,Call Sign - Amateur,Allocated
20AKP,20,AKP,Call Sign - Amateur,Reserved
20AKQ,20,AKQ,Call Sign - Amateur,Allocated
20AKR,20,AKR,Call Sign - Amateur,Allocated
20AKS,20,AKS,Call Sign - Amateur,Allocated
20AKT,20,AKT,Call Sign - Amateur,Allocated
20AKU,20,AKU,Call Sign - Amateur,Allocated
20AKV,20,AKV,Call Sign - Amateur,Reserved
20AKW,20,AKW,Call Sign - Amateur,Reserved
20AKX,20,AKX,Call Sign - Amateur,Reserved
20AKY,20,AKY,Call Sign - Amateur,Allocated
20AKZ,20,AKZ,Call Sign - Amateur,Reserved
20ALA,20,ALA,Call Sign - Amateur,Allocated
20ALB,20,ALB,Call Sign - Amateur,Allocated
20ALC,20,ALC,Call Sign - Amateur,Allocated
20ALD,20,ALD,Call Sign - Amateur,Allocated
20ALE,20,ALE,Call Sign - Amateur,Allocated
20ALF,20,ALF,Call Sign - Amateur,Allocated
20ALG,20,ALG,Call Sign - Amateur,Reserved
20ALH,20,ALH,Call Sign - Amateur,Allocated
20ALI,20,ALI,Call Sign - Amateur,Allocated
20ALJ,20,ALJ,Call Sign - Amateur,Allocated
20ALK,20,ALK,Call Sign - Amateur,Allocated
20ALL,20,ALL,Call Sign - Amateur,Allocated
20ALM,20,ALM,Call Sign - Amateur,Allocated
20ALN,20,ALN,Call Sign - Amateur,Reserved
20ALO,20,ALO,Call Sign - Amateur,Reserved
20ALP,20,ALP,Call Sign - Amateur,Reserved
20ALQ,20,ALQ,Call Sign - Amateur,Reserved
20ALR,20,ALR,Call Sign - Amateur,Reserved
20ALS,20,ALS,Call Sign - Amateur,Allocated
20ALT,20,ALT,Call Sign - Amateur,Reserved
20ALU,20,ALU,Call Sign - Amateur,Reserved
20ALV,20,ALV,Call Sign - Amateur,Reserved
20ALW,20,ALW,Call Sign - Amateur,Allocated
20ALX,20,ALX,Call Sign - Amateur,Reserved
20ALY,20,ALY,Call Sign - Amateur,Reserved
20ALZ,20,ALZ,Call Sign - Amateur,Allocated
20AMA,20,AMA,Call Sign - Amateur,Reserved
20AMB,20,AMB,Call Sign - Amateur,Allocated
20AMC,20,AMC,Call Sign - Amateur,Reserved
20AMD,20,AMD,Call Sign - Amateur,Reserved
20AME,20,AME,Call Sign - Amateur,Reserved
20AMF,20,AMF,Call Sign - Amateur,Reserved
20AMG,20,AMG,Call Sign - Amateur,Reserved
20AMH,20,AMH,Call Sign - Amateur,Reserved
20AMI,20,AMI,Call Sign - Amateur,Reserved
20AMJ,20,AMJ,Call Sign - Amateur,Reserved
20AMK,20,AMK,Call Sign - Amateur,Reserved
20AML,20,AML,Call Sign - Amateur,Reserved
20AMM,20,AMM,Call Sign - Amateur,Reserved
20AMN,20,AMN,Call Sign - Amateur,Reserved
20AMO,20,AMO,Call Sign - Amateur,Reserved
20AMP,20,AMP,Call Sign - Amateur,Reserved
20AMQ,20,AMQ,Call Sign - Amateur,Reserved
20AMR,20,AMR,Call Sign - Amateur,Reserved
20AMS,20,AMS,Call Sign - Amateur,Reserved
20AMT,20,AMT,Call Sign - Amateur,Reserved
20AMU,20,AMU,Call Sign - Amateur,Reserved
20AMV,20,AMV,Call Sign - Amateur,Reserved
20AMW,20,AMW,Call Sign - Amateur,Allocated
20AMX,20,AMX,Call Sign - Amateur,Reserved
20AMY,20,AMY,Call Sign - Amateur,Reserved
20AMZ,20,AMZ,Call Sign - Amateur,Reserved
20ANA,20,ANA,Call Sign - Amateur,Reserved
20ANB,20,ANB,Call Sign - Amateur,Reserved
20ANC,20,ANC,Call Sign - Amateur,Reserved
20AND,20,AND,Call Sign - Amateur,Reserved
20ANE,20,ANE,Call Sign - Amateur,Allocated
20ANF,20,ANF,Call Sign - Amateur,Reserved
20ANG,20,ANG,Call Sign - Amateur,Reserved
20ANH,20,ANH,Call Sign - Amateur,Reserved
20ANI,20,ANI,Call Sign - Amateur,Reserved
20ANJ,20,ANJ,Call Sign - Amateur,Reserved
20ANK,20,ANK,Call Sign - Amateur,Reserved
20ANL,20,ANL,Call Sign - Amateur,Reserved
20ANM,20,ANM,Call Sign - Amateur,Reserved
20ANN,20,ANN,Call Sign - Amateur,Reserved
20ANO,20,ANO,Call Sign - Amateur,Reserved
20ANP,20,ANP,Call Sign - Amateur,Reserved
20ANQ,20,ANQ,Call Sign - Amateur,Reserved
20ANR,20,ANR,Call Sign - Amateur,Reserved
20ANS,20,ANS,Call Sign - Amateur,Reserved
20ANT,20,ANT,Call Sign - Amateur,Reserved
20ANU,20,ANU,Call Sign - Amateur,Reserved
20ANV,20,ANV,Call Sign - Amateur,Reserved
20ANW,20,ANW,Call Sign - Amateur,Reserved
20ANX,20,ANX,Call Sign - Amateur,Reserved
20ANY,20,ANY,Call Sign - Amateur,Reserved
20ANZ,20,ANZ,Call Sign - Amateur,Reserved
20AOA,20,AOA,Call Sign - Amateur,Reserved
20AOB,20,AOB,Call Sign - Amateur,Reserved
20AOC,20,AOC,Call Sign - Amateur,Reserved
20AOD,20,AOD,Call Sign - Amateur,Reserved
20AOE,20,AOE,Call Sign - Amateur,Reserved
20AOF,20,AOF,Call Sign - Amateur,Reserved
20AOG,20,AOG,Call Sign - Amateur,Reserved
20AOH,20,AOH,Call Sign - Amateur,Reserved
20AOI,20,AOI,Call Sign - Amateur,Reserved
20AOJ,20,AOJ,Call Sign - Amateur,Reserved
20AOK,20,AOK,Call Sign - Amateur,Allocated
20AOL,20,AOL,Call Sign - Amateur,Allocated
20AOM,20,AOM,Call Sign - Amateur,Reserved
20AON,20,AON,Call Sign - Amateur,Reserved
20AOO,20,AOO,Call Sign - Amateur,Reserved
20AOP,20,AOP,Call Sign - Amateur,Reserved
20AOQ,20,AOQ,Call Sign - Amateur,Reserved
20AOR,20,AOR,Call Sign - Amateur,Reserved
20AOS,20,AOS,Call Sign - Amateur,Allocated
20AOT,20,AOT,Call Sign - Amateur,Reserved
20AOU,20,AOU,Call Sign - Amateur,Allocated
20AOV,20,AOV,Call Sign - Amateur,Reserved
20AOW,20,AOW,Call Sign - Amateur,Reserved
20AOX,20,AOX,Call Sign - Amateur,Reserved
20AOY,20,AOY,Call Sign - Amateur,Reserved
20AOZ,20,AOZ,Call Sign - Amateur,Allocated
20APA,20,APA,Call Sign - Amateur,Reserved
20APB,20,APB,Call Sign - Amateur,Allocated
20APC,20,APC,Call Sign - Amateur,Reserved
20APD,20,APD,Call Sign - Amateur,Reserved
20APE,20,APE,Call Sign - Amateur,Reserved
20APF,20,APF,Call Sign - Amateur,Reserved
20APG,20,APG,Call Sign - Amateur,Allocated
20APH,20,APH,Call Sign - Amateur,Reserved
20API,20,API,Call Sign - Amateur,Reserved
20APJ,20,APJ,Call Sign - Amateur,Allocated
20APK,20,APK,Call Sign - Amateur,Reserved
20APL,20,APL,Call Sign - Amateur,Reserved
20APM,20,APM,Call Sign - Amateur,Reserved
20APN,20,APN,Call Sign - Amateur,Allocated
20APO,20,APO,Call Sign - Amateur,Reserved
20APP,20,APP,Call Sign - Amateur,Reserved
20APQ,20,APQ,Call Sign - Amateur,Reserved
20APS,20,APS,Call Sign - Amateur,Reserved
20APT,20,APT,Call Sign - Amateur,Allocated
20APU,20,APU,Call Sign - Amateur,Reserved
20APV,20,APV,Call Sign - Amateur,Reserved
20APW,20,APW,Call Sign - Amateur,Reserved
20APX,20,APX,Call Sign - Amateur,Allocated
20APY,20,APY,Call Sign - Amateur,Allocated
20APZ,20,APZ,Call Sign - Amateur,Allocated
20AQA,20,AQA,Call Sign - Amateur,Reserved
20AQB,20,AQB,Call Sign - Amateur,Reserved
20AQC,20,AQC,Call Sign - Amateur,Reserved
20AQD,20,AQD,Call Sign - Amateur,Reserved
20AQE,20,AQE,Call Sign - Amateur,Allocated
20AQF,20,AQF,Call Sign - Amateur,Reserved
20AQG,20,AQG,Call Sign - Amateur,Reserved
20AQH,20,AQH,Call Sign - Amateur,Reserved
20AQI,20,AQI,Call Sign - Amateur,Allocated
20AQJ,20,AQJ,Call Sign - Amateur,Reserved
20AQK,20,AQK,Call Sign - Amateur,Reserved
20AQL,20,AQL,Call Sign - Amateur,Reserved
20AQM,20,AQM,Call Sign - Amateur,Reserved
20AQN,20,AQN,Call Sign - Amateur,Reserved
20AQO,20,AQO,Call Sign - Amateur,Reserved
20AQP,20,AQP,Call Sign - Amateur,Reserved
20AQQ,20,AQQ,Call Sign - Amateur,Reserved
20AQR,20,AQR,Call Sign - Amateur,Allocated
20AQS,20,AQS,Call Sign - Amateur,Reserved
20AQT,20,AQT,Call Sign - Amateur,Reserved
20AQU,20,AQU,Call Sign - Amateur,Allocated
20AQV,20,AQV,Call Sign - Amateur,Reserved
20AQW,20,AQW,Call Sign - Amateur,Reserved
20AQX,20,AQX,Call Sign - Amateur,Reserved
20AQY,20,AQY,Call Sign - Amateur,Reserved
20AQZ,20,AQZ,Call Sign - Amateur,Reserved
20ARA,20,ARA,Call Sign - Amateur,Allocated
20ARB,20,ARB,Call Sign - Amateur,Reserved
20ARC,20,ARC,Call Sign - Amateur,Reserved
20ARD,20,ARD,Call Sign - Amateur,Reserved
20ARE,20,ARE,Call Sign - Amateur,Allocated
20ARF,20,ARF,Call Sign - Amateur,Reserved
20ARG,20,ARG,Call Sign - Amateur,Reserved
20ARH,20,ARH,Call Sign - Amateur,Reserved
20ARI,20,ARI,Call Sign - Amateur,Allocated
20ARJ,20,ARJ,Call Sign - Amateur,Allocated
20ARK,20,ARK,Call Sign - Amateur,Reserved
20ARL,20,ARL,Call Sign - Amateur,Reserved
20ARM,20,ARM,Call Sign - Amateur,Reserved
20ARN,20,ARN,Call Sign - Amateur,Reserved
20ARO,20,ARO,Call Sign - Amateur,Allocated
20ARP,20,ARP,Call Sign - Amateur,Reserved
20ARQ,20,ARQ,Call Sign - Amateur,Reserved
20ARR,20,ARR,Call Sign - Amateur,Reserved
20ARS,20,ARS,Call Sign - Amateur,Reserved
20ART,20,ART,Call Sign - Amateur,Reserved
20ARU,20,ARU,Call Sign - Amateur,Reserved
20ARV,20,ARV,Call Sign - Amateur,Allocated
20ARW,20,ARW,Call Sign - Amateur,Allocated
20ARX,20,ARX,Call Sign - Amateur,Reserved
20ARY,20,ARY,Call Sign - Amateur,Reserved
20ARZ,20,ARZ,Call Sign - Amateur,Reserved
20ASA,20,ASA,Call Sign - Amateur,Reserved
20ASB,20,ASB,Call Sign - Amateur,Reserved
20ASC,20,ASC,Call Sign - Amateur,Reserved
20ASD,20,ASD,Call Sign - Amateur,Reserved
20ASE,20,ASE,Call Sign - Amateur,Reserved
20ASF,20,ASF,Call Sign - Amateur,Reserved
20ASG,20,ASG,Call Sign - Amateur,Reserved
20ASH,20,ASH,Call Sign - Amateur,Reserved
20ASI,20,ASI,Call Sign - Amateur,Reserved
20ASJ,20,ASJ,Call Sign - Amateur,Allocated
20ASK,20,ASK,Call Sign - Amateur,Reserved
20ASL,20,ASL,Call Sign - Amateur,Reserved
20ASM,20,ASM,Call Sign - Amateur,Reserved
20ASN,20,ASN,Call Sign - Amateur,Reserved
20ASO,20,ASO,Call Sign - Amateur,Reserved
20ASP,20,ASP,Call Sign - Amateur,Reserved
20ASQ,20,ASQ,Call Sign - Amateur,Reserved
20ASR,20,ASR,Call Sign - Amateur,Reserved
20AST,20,AST,Call Sign - Amateur,Reserved
20ASU,20,ASU,Call Sign - Amateur,Allocated
20ASV,20,ASV,Call Sign - Amateur,Reserved
20ASW,20,ASW,Call Sign - Amateur,Allocated
20ASX,20,ASX,Call Sign - Amateur,Allocated
20ASY,20,ASY,Call Sign - Amateur,Reserved
20ASZ,20,ASZ,Call Sign - Amateur,Reserved
20ATA,20,ATA,Call Sign - Amateur,Reserved
20ATB,20,ATB,Call Sign - Amateur,Allocated
20ATC,20,ATC,Call Sign - Amateur,Reserved
20ATD,20,ATD,Call Sign - Amateur,Reserved
20ATE,20,ATE,Call Sign - Amateur,Reserved
20ATF,20,ATF,Call Sign - Amateur,Allocated
20ATG,20,ATG,Call Sign - Amateur,Reserved
20ATH,20,ATH,Call Sign - Amateur,Reserved
20ATI,20,ATI,Call Sign - Amateur,Reserved
20ATJ,20,ATJ,Call Sign - Amateur,Reserved
20ATK,20,ATK,Call Sign - Amateur,Reserved
20ATL,20,ATL,Call Sign - Amateur,Reserved
