Country,Current Series,Reference,Value,Type,Product,Status
2,0,DYI,20DYI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYJ,20DYJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYK,20DYK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYL,20DYL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYN,20DYN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYO,20DYO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYP,20DYP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYQ,20DYQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYR,20DYR,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYS,20DYS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYT,20DYT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYU,20DYU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYV,20DYV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYW,20DYW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYX,20DYX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DYY,20DYY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZA,20DZA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZB,20DZB,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZC,20DZC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZD,20DZD,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZE,20DZE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZF,20DZF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZG,20DZG,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZH,20DZH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZI,20DZI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZJ,20DZJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZK,20DZK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZM,20DZM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZN,20DZN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZO,20DZO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZP,20DZP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZQ,20DZQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZR,20DZR,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZT,20DZT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZW,20DZW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZX,20DZX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,DZY,20DZY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBH,20EBH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBI,20EBI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBL,20EBL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBP,20EBP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBQ,20EBQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBU,20EBU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBW,20EBW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBX,20EBX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBY,20EBY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EBZ,20EBZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECB,20ECB,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECE,20ECE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECF,20ECF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECH,20ECH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECJ,20ECJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECP,20ECP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECQ,20ECQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECT,20ECT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECU,20ECU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECV,20ECV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECX,20ECX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ECY,20ECY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EDA,20EDA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EDB,20EDB,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EDC,20EDC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EDF,20EDF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EDH,20EDH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EDN,20EDN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EDO,20EDO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EDR,20EDR,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EDV,20EDV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEC,20EEC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEF,20EEF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEG,20EEG,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEH,20EEH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEI,20EEI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEJ,20EEJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEL,20EEL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEN,20EEN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEP,20EEP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEQ,20EEQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EES,20EES,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEU,20EEU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEV,20EEV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEW,20EEW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEX,20EEX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EEZ,20EEZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFD,20EFD,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFF,20EFF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFG,20EFG,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFJ,20EFJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFK,20EFK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFL,20EFL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFN,20EFN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFO,20EFO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFP,20EFP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFQ,20EFQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFS,20EFS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFT,20EFT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFU,20EFU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFV,20EFV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFW,20EFW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFY,20EFY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EFZ,20EFZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGA,20EGA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGC,20EGC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGD,20EGD,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGE,20EGE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGH,20EGH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGJ,20EGJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGL,20EGL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGM,20EGM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGO,20EGO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGQ,20EGQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGS,20EGS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGU,20EGU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGV,20EGV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGW,20EGW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGX,20EGX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGY,20EGY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EGZ,20EGZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHA,20EHA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHC,20EHC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHE,20EHE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHH,20EHH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHI,20EHI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHJ,20EHJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHK,20EHK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHL,20EHL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHM,20EHM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHN,20EHN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHO,20EHO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHP,20EHP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHQ,20EHQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHR,20EHR,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHS,20EHS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHU,20EHU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHW,20EHW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHX,20EHX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EHY,20EHY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIA,20EIA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIC,20EIC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EID,20EID,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIE,20EIE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIF,20EIF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIH,20EIH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIJ,20EIJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIK,20EIK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIL,20EIL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIM,20EIM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIN,20EIN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIP,20EIP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIQ,20EIQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIT,20EIT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIU,20EIU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIV,20EIV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIX,20EIX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIY,20EIY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EIZ,20EIZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJC,20EJC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJD,20EJD,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJE,20EJE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJG,20EJG,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJI,20EJI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJJ,20EJJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJN,20EJN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJO,20EJO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJP,20EJP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJQ,20EJQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJV,20EJV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJY,20EJY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EJZ,20EJZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKA,20EKA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKC,20EKC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKD,20EKD,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKE,20EKE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKI,20EKI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKJ,20EKJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKK,20EKK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKM,20EKM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKO,20EKO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKP,20EKP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKQ,20EKQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKS,20EKS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKT,20EKT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKU,20EKU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKV,20EKV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKW,20EKW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKX,20EKX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKY,20EKY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EKZ,20EKZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELA,20ELA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELB,20ELB,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELE,20ELE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELH,20ELH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELJ,20ELJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELN,20ELN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELQ,20ELQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELR,20ELR,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELU,20ELU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELX,20ELX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ELZ,20ELZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EMH,20EMH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EMK,20EMK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EMN,20EMN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EMQ,20EMQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EMY,20EMY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EMZ,20EMZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENA,20ENA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENB,20ENB,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENC,20ENC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENE,20ENE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENF,20ENF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENH,20ENH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENI,20ENI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENJ,20ENJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENK,20ENK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENL,20ENL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENM,20ENM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENS,20ENS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENU,20ENU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENV,20ENV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENX,20ENX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,ENY,20ENY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOA,20EOA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOC,20EOC,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOH,20EOH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOI,20EOI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EON,20EON,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOQ,20EOQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOR,20EOR,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOT,20EOT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOV,20EOV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOX,20EOX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOY,20EOY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EOZ,20EOZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPA,20EPA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPB,20EPB,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPD,20EPD,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPF,20EPF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPG,20EPG,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPH,20EPH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPI,20EPI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPJ,20EPJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPK,20EPK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPL,20EPL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPN,20EPN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPP,20EPP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPQ,20EPQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPS,20EPS,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPU,20EPU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPV,20EPV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPX,20EPX,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPY,20EPY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EPZ,20EPZ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQA,20EQA,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQB,20EQB,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQD,20EQD,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQE,20EQE,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQF,20EQF,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQG,20EQG,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQH,20EQH,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQI,20EQI,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQJ,20EQJ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQK,20EQK,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQL,20EQL,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQM,20EQM,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQN,20EQN,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQO,20EQO,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQP,20EQP,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQQ,20EQQ,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQT,20EQT,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQU,20EQU,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQV,20EQV,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQW,20EQW,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQY,20EQY,Call Sign,Amateur Intermediate Radio Licence,Available
2,0,EQZ,20EQZ,Call Sign,Amateur Intermediate Radio Licence,Available
